#1
double wormControl(39,  7)
0	0	1	0	1	0	1
10	0	0	0	0	1	0
10.75	0	0	1	0	0	0
13.75	0	0	0	0	0	1
14.75	1	0	0	0	0	0
15.5	0	0	0	1	0	0
18.75	0	1	0	0	0	0
19.75	0	0	0	0	1	0
20.5	0	0	1	0	0	0
23.5	0	0	0	0	0	1
24.5	1	0	0	0	0	0
25.25	0	0	0	1	0	0
28.5	0	1	0	0	0	0
29.5	0	0	0	0	1	0
30.25	0	0	1	0	0	0
33.25	0	0	0	0	0	1
34.25	1	0	0	0	0	0
35	0	0	0	1	0	0
38.25	0	1	0	0	0	0
39.25	0	0	0	0	1	0
40	0	0	1	0	0	0
43	0	0	0	0	0	1
44	1	0	0	0	0	0
44.75	0	0	0	1	0	0
48	0	1	0	0	0	0
49	0	0	0	0	1	0
49.75	0	0	1	0	0	0
52.75	0	0	0	0	0	1
53.75	1	0	0	0	0	0
54.5	0	0	0	1	0	0
57.75	0	1	0	0	0	0
58.75	0	0	0	0	1	0
59.5	0	0	1	0	0	0
62.5	0	0	0	0	0	1
63.5	1	0	0	0	0	0
64.25	0	0	0	1	0	0
67.5	0	1	0	0	0	0
68.5	0	1	0	1	0	1
71.75	0	0	0	0	0	0
